test case,mean,stddev,median,none,none2,none3,none4
u_2d_32b_4.svp,0.0006464326057385763,0.00003177518388709932,0.0006370835,0.00017213655685440745,0.00031393012752391176,0.000601125,0.000903625
u_10d_16b_10.svp,0.0006837739736596728,0.00011666223223177885,0.0006675,0.00019925780885780812,0.00031600093240093476,0.0006312080000000001,0.0033574580000000002
u_20d_16b_24.svp,0.0010984536377343103,0.000055979332137907584,0.001086958,0.0005952885085574569,0.00032465892420537935,0.0010326670000000001,0.0027132090000000003
u_6d_8b_17.svp,0.0006594836353503189,0.00009743893998754964,0.0006450000000000001,0.00017963284804367423,0.0003155404913557786,0.000609625,0.003973459
u_19d_16b_13.svp,0.0011519243339859048,0.00004983102882502353,0.0011413955,0.0006534866875489374,0.00032252466718872303,0.001094583,0.002574083
u_20d_16b_18.svp,0.0011544609947025278,0.00012212790357139507,0.0011383335000000002,0.0006461238793806062,0.0003263202933985323,0.001086208,0.0041517920000000005
u_8d_8b_2.svp,0.0006728245519536891,0.00003435001491727686,0.000667542,0.00018713950795947967,0.0003226173661360364,0.000620125,0.0011571670000000002
u_12d_16b_8.svp,0.0007453328792433291,0.00010444948822468517,0.000731875,0.00025904094324954497,0.00031769603524229136,0.000692084,0.0038235
u_18d_8b_17.svp,0.0010243379254915505,0.00015417724880306997,0.001008,0.0005229517074853401,0.00032272921697136915,0.0009595420000000001,0.006930417
u_5d_8b_1.svp,0.0006521930729328302,0.000052615621107191805,0.00064225,0.00017544868100199186,0.000314331633784084,0.000607708,0.003369583
u_13d_8b_23.svp,0.0007559507711276647,0.00011207055587717707,0.000741958,0.00026949601849473426,0.00031626920113023507,0.000701584,0.004797291
u_14d_32b_2.svp,0.0007420345165753065,0.00003327142474685784,0.000732792,0.0002598710519446586,0.00031555625163142835,0.0006957090000000001,0.000978708
u_18d_32b_18.svp,0.0010299830026200862,0.00012874659256171584,0.0010133125,0.0005282257641921427,0.0003234131004366808,0.000964958,0.004992875
